Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2024-10-21,44.3945,44.6713,44.1275,44.5922,912334.56063328
2024-10-22,44.4143,45.5414,44.4143,45.0965,1401615.1486484
2024-10-23,45.0372,45.0372,43.9199,44.701,1109800.7427311
2024-10-24,44.9086,45.1954,43.8754,44.088,982648.18986356
2024-10-25,44.3846,44.7208,43.9594,44.5527,918014.50858871
2024-10-28,45.0372,45.2349,44.6021,44.9185,985970.59531825
2024-10-29,43.8408,44.177,43.5343,44.1176,1514519.2850637
2024-10-30,43.6529,44.7307,43.6529,44.3747,834829.97165175
2024-10-31,44.2462,44.6417,43.2525,43.7617,1522682.1874761
2024-11-01,44.2363,45.4623,44.088,45.0273,1586149.7398349
2024-11-04,45.2448,45.2646,43.3366,43.5639,2045771.4115764
2024-11-05,44.9383,46.372,44.701,45.7688,2047168.1366701
2024-11-06,46.1545,46.1545,44.3549,45.3635,2644669.1290881
2024-11-07,45.8677,46.8713,45.7936,46.7675,1232553.7632614
2024-11-08,46.372,46.5598,45.1459,45.1657,1515638.8901895
2024-11-11,45.8974,46.2731,45.4327,45.8282,1408078.9213306
2024-11-12,45.2844,45.6403,44.3451,44.9581,1315900.1220775
2024-11-13,44.4934,44.612,43.91,44.0781,1344269.5202523
2024-11-14,44.5922,44.8592,44.266,44.5725,1491859.1650599
2024-11-15,44.6812,44.6812,43.9001,44.3648,1103689.9440227
2024-11-18,43.8507,44.3055,43.3563,44.2462,1017828.2663738
2024-11-19,43.7221,44.5725,43.4354,44.5131,1969530.0446383
2024-11-20,43.8408,44.0287,43.4057,43.4453,2433922.4276522
2024-11-21,43.2574,43.3217,42.3676,42.3972,860407.94241257
2024-11-22,42.0709,42.595,41.9918,42.4961,1640710.0091375
2024-11-25,42.8817,43.5343,42.8817,43.297,1458861.6611436
2024-11-26,42.8817,43.1388,42.1995,42.8323,1279643.9300714
2024-11-27,42.8718,43.3662,42.684,43.3662,789565.35791508
2024-11-29,43.2673,43.915,43.2673,43.5442,625770.26330514
2024-12-02,43.4255,43.8902,43.3069,43.7221,776139.19888582
2024-12-03,44.5131,44.6417,43.8606,44.0287,983604.96172357
2024-12-04,44.0287,44.434,43.8952,43.91,919181.64889152
2024-12-05,44.9581,46.8762,44.7653,46.3324,1791275.1537466
2024-12-06,46.2632,46.4708,45.7787,46.1248,778165.00653446
2024-12-09,46.4412,46.5796,45.3832,45.3931,884864.28527407
2024-12-10,45.4722,46.1149,45.1756,45.7491,1205892.5972976
2024-12-11,45.8381,46.0655,45.0471,45.4821,843404.50846908
2024-12-12,46.0655,46.2484,45.0174,45.0569,871676.81351644
2024-12-13,45.6008,45.6947,44.5626,44.9383,1184221.6135296
2024-12-16,44.612,44.701,44.1176,44.2264,752608.27489527
2024-12-17,44.7504,45.3832,44.2363,44.9185,1264201.0658742
2024-12-18,44.9185,45.4623,43.4601,43.6233,1190633.8054878
2024-12-19,44.1572,44.4242,43.7815,43.9891,1278710.4201065
2024-12-20,44.0089,44.7109,43.8111,44.1967,1098192.0456812
2024-12-23,44.1572,44.2956,43.386,43.5639,1156452.9790808
2024-12-24,43.9001,44.4044,43.7419,43.7518,895256.28407072
2024-12-26,43.7221,43.8161,43.3761,43.4255,394450.94410544
2024-12-27,43.1289,43.5936,43.1289,43.5738,668724.86971806
2024-12-30,43.2476,43.599,42.8125,43.4453,614664.22546708
2024-12-31,43.4354,43.6628,42.9707,43.0992,377909.71390405
